u,g,r,i,z,specClass,redshift,zerr
18.518787,18.401463,18.20186,18.248285,18.172316,3,1.05799,2.55281E-3
19.628607,19.343006,19.260832,19.006432,18.901915,3,1.63264,1.837E-3
18.788855,17.530003,16.904314,16.505348,16.28924,2,0.082093,8.83362E-5
18.726358,17.341974,16.700857,16.325237,16.095871,2,0.07478,1.66095E-4
18.941589,17.735004,17.224455,16.869522,16.697838,2,0.09231,1.93301E-4
19.154364,17.057396,15.998243,15.541197,15.131961,2,0.107629,1.71288E-4
18.460289,17.033192,16.265789,15.872707,15.614673,2,0.089574,1.3586E-4
18.648531,17.149282,16.355167,15.948387,15.684349,2,0.060681,1.59123E-4
18.814287,17.486507,16.754709,16.345463,16.09203,2,0.088751,4.68996E-5
18.831877,17.801172,17.30022,16.914352,16.764463,2,0.114497,8.68467E-5
19.567043,17.918766,17.162519,16.828037,16.551027,2,0.108339,1.49639E-4
18.629894,17.35014,16.698387,16.324558,16.075222,2,0.088518,2.14949E-4
18.74081,17.448082,16.640642,16.171858,16.056314,2,0.103306,1.3389E-4
17.952688,16.65872,15.969112,15.575899,15.307445,2,0.041891,1.01568E-4
19.267223,18.976797,19.022568,18.812662,18.793377,3,0.530376,1.25119E-3
19.501976,17.876163,17.167671,16.84087,16.622591,2,0.061169,1.4422E-4
19.527073,17.494129,16.453241,15.969358,15.503669,2,0.092147,1.98653E-4
19.138357,19.054028,18.994181,18.733025,18.12101,3,0.398817,1.17166E-3
19.761137,18.500099,18.014902,17.818348,17.687941,1,-4.27403E-4,8.57043E-5
16.566244,15.437317,14.995508,14.766521,14.64597,2,0.021229,7.42726E-5
19.101191,18.189653,17.804178,17.474684,17.327547,2,0.11251,4.24954E-5
18.135542,16.372786,15.553307,15.180798,14.843959,2,0.062038,1.6292E-4
18.363892,16.887976,16.032677,15.533693,15.185916,2,0.078131,1.17754E-4
19.016762,17.917244,17.224455,16.847126,16.616278,2,0.133831,9.78158E-5
19.57567,17.442066,16.330507,15.81338,15.405553,2,0.111324,2.5198E-4
18.877357,18.735144,18.439161,18.097618,18.154074,3,1.78916,2.50932E-3
19.726563,19.738142,19.679914,19.279121,19.451429,3,1.81907,1.36655E-3
19.157049,16.87604,15.721178,15.18134,14.747951,2,0.061086,1.77089E-4
19.853153,18.804937,18.728477,18.771749,18.784681,1,3.0934E-4,1.43329E-4
22.177799,19.747408,18.784414,18.439472,18.260508,1,-1.05639E-4,7.47759E-5
18.694199,17.590199,17.114408,16.816595,16.596716,2,0.079274,8.26281E-5
18.853123,17.61565,17.135017,16.817158,16.583124,2,0.084893,6.05432E-5
19.434551,18.127079,17.392704,16.990976,16.684483,2,0.115485,1.83856E-4
19.609097,19.563108,19.270836,19.255632,19.296127,3,1.33389,1.9017E-3
19.751738,18.093328,17.441706,17.184155,17.110449,1,6.79247E-5,5.94802E-5
18.773054,16.981634,16.158409,15.744195,15.439553,2,0.045963,1.6967E-4
19.042152,17.036097,16.016769,15.536048,15.143414,2,0.091347,1.66797E-4
18.40078,17.103699,16.539351,16.231516,16.056515,2,0.042455,1.66232E-4
19.271627,18.290527,17.828148,17.459486,17.35041,2,0.092239,9.20346E-5
19.183847,18.151617,17.745724,17.427738,17.332319,2,0.091053,9.3507E-5
19.18059,19.143654,18.926409,18.871998,18.32703,3,0.357771,1.17741E-3
18.929504,17.20878,16.45479,16.111328,15.847841,2,0.039997,8.96323E-5
18.37711,16.48978,15.503813,15.077816,14.719034,2,0.103888,1.5642E-4
18.164576,16.183369,15.26531,14.831436,14.488307,2,0.0611,2.13417E-4
19.499821,17.461906,16.336895,15.831944,15.390425,2,0.105773,1.61265E-4
17.945665,15.909204,14.916533,14.471959,14.138391,2,0.086184,1.79288E-4
19.520739,17.899586,17.299879,16.934765,16.674168,2,0.09442,1.02656E-4
17.767338,16.141161,15.293428,14.87843,14.539656,2,0.077189,1.53278E-4
19.064926,17.700117,17.103735,16.729755,16.428608,2,0.075969,8.59753E-5
19.24593,17.858921,17.095707,16.662954,16.366026,2,0.106619,8.7326E-5
18.956429,17.158283,16.468033,16.038427,15.70207,2,0.042542,9.28122E-5
19.455687,18.343473,17.736153,17.367714,17.152967,2,0.104582,9.41023E-5
19.049183,18.755646,18.375753,17.927925,17.988348,3,0.139595,7.81084E-4
19.375278,17.4519,16.580555,16.15527,15.815004,2,0.046172,1.58862E-4
18.928396,17.631094,16.963352,16.598969,16.345936,2,0.093732,1.42647E-4
18.782211,17.302446,16.522873,16.122208,15.859632,2,0.088387,1.4169E-4
19.483221,17.429003,16.415586,15.974516,15.594472,2,0.103662,1.42901E-4
